Asset Number,Plant ID
1221712,1
1312859,2
1312860,3
1312869,4
1313102,5
1313105,6
1298793,7
1298795,8
1297777,9
1189303,10
1235477,12
1312690,14
1312686,15
1272150,16
1312691,17
1312731,18
1312732,19
1312610,20
1297533,23
1297534,24
1280585,25
1280591,26
1280598,27
1297566,28
1280586,29
1280596,30
1282765,31
1276462,32
1276459,33
1276549,34
1276454,35
1276461,36
1276463,37
1320825,38
1276414,39
1320977,40
1320990,41
1320991,42
1261233,43
1276557,44
1276457,45
1304744,46
1270839,47
1270837,48
1219222,50
1219218,51
1276093,52
1276086,53
1295773,54
1229297,55
1226154,56
1281595,57
1295771,58
1229366,59
1231552,60
1193145,61
1288079,62
1257525,64
1280188,65
1247956,66
1226045,67
1235624,68
1235626,69
1096333,70
1226041,71
16816-590736-0001,72
16816-590535-0001,73
16816-590739-0001,75
16816-590742-0001,76
16816-590737-0001,77
16816-590741-0001,78
16816-590738-0001,79
16816-590740-0001,80
1117098,81
