barcode,item,new_desc,price,source
1253744,1253744,Scissor Lift With Operator Protection 19ft (5.7m)  Electric,,
COA~5605991,1257525,Scissor Lift With Operator Protection 19ft (5.7m)  Electric - Greener Choice,,
COA~5325832,1247956,Scissor Lift With Operator Protection 32ft (9.7m)  Electric,,
1280188,1280188,Scissor Lift With Operator Protection 19ft (5.7m)  Electric - Greener Choice,,
1298795,1298795,Trailer Mounted Boom 10.2m Diesel/Electric,,
1298793,1298793,Trailer Mounted Boom 10.2m Diesel/Electric,,
COA~5526425,1221712,Knuckle Boom 130ft (39.5M) - Diesel,,
1312859,1312859,Knuckle Boom 45ft (13.7M) - Diesel,,
1312860,1312860,Knuckle Boom 45ft (13.7M) - Diesel,,
1312869,1312869,Knuckle Boom 61ft (18.6M) - Diesel,,
1313102,1313102,Straight Boom Lift 32.3m (105ft) Diesel,,
1313105,1313105,Straight Boom Lift 32.3m (105ft) Diesel,,
COA~403076,1036936,Air Chipping Hammer,629,https://www.totaltools.com.au/182918-chicago-pneumatic-2500bpm-pistol-grip-air-chipping-hammer-cp7165k
1288789,1288789,Air Chipping Hammer,629,https://www.totaltools.com.au/182918-chicago-pneumatic-2500bpm-pistol-grip-air-chipping-hammer-cp7165k
1288790,1288790,Air Chipping Hammer,629,https://www.totaltools.com.au/182918-chicago-pneumatic-2500bpm-pistol-grip-air-chipping-hammer-cp7165k
COA~145995,1118715,Air Chipping Hammer,629,https://www.totaltools.com.au/182918-chicago-pneumatic-2500bpm-pistol-grip-air-chipping-hammer-cp7165k
COA~5103029,1219260,Breaker - Air - Light,1493.8,https://airtoolswa.com.au/atlas-copco-5-5kg-pneumatic-hammer-tex05p/
COA~255072,1199402,Breaker - Air - Light,1493.8,https://airtoolswa.com.au/atlas-copco-5-5kg-pneumatic-hammer-tex05p/
COA~201443,1041043,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
1272964,1272964,Scabbler - Air - 3 Head,679.99,https://www.capsshop.com.au/air-tools/air-sanders-polishers-scalers/air-scaling-hammer
COA~156252,1218490,Scabbler - Air - 3 Head,679.99,https://www.capsshop.com.au/air-tools/air-sanders-polishers-scalers/air-scaling-hammer
COA~101355,224664,"1/2"" Drive Air Impact Wrench",499,https://www.totaltools.com.au/22467-chicago-pneumatic-1-2inch-air-impact-wrench-cp734h
1163712,1163712,"1/2"" Drive Air Impact Wrench",499,https://www.totaltools.com.au/22467-chicago-pneumatic-1-2inch-air-impact-wrench-cp734h
1291858,1291858,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
1269754,1269754,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
COA~319249,1236788,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
COA~5397346,1194249,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
1183515,1183515,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
COA~402082,1199620,Impact Wrench - Air - 25 mm,2399,https://www.totaltools.com.au/182946-chicago-pneumatic-1inch-drive-air-impact-wrench-cp7776
COA~402494,1170937,Impact Wrench - Air - 25 mm,2399,https://www.totaltools.com.au/182946-chicago-pneumatic-1inch-drive-air-impact-wrench-cp7776
COA~5421938,1163026,Impact Wrench - Air - 25 mm,2399,https://www.totaltools.com.au/182946-chicago-pneumatic-1inch-drive-air-impact-wrench-cp7776
COA~452991,216C,Impact Wrench - Air - 38 mm,3080,https://www.primesupplies.com.au/product/1-1-2-super-duty-impact-wrench/
1176049,1176049,Impact Wrench - Air - 25 mm,2399,https://www.totaltools.com.au/182946-chicago-pneumatic-1inch-drive-air-impact-wrench-cp7776
COA~402083,1199619,Impact Wrench - Air - 25 mm,2399,https://www.totaltools.com.au/182946-chicago-pneumatic-1inch-drive-air-impact-wrench-cp7776
COA~402495,1170936,Impact Wrench - Air - 25 mm,2399,https://www.totaltools.com.au/182946-chicago-pneumatic-1inch-drive-air-impact-wrench-cp7776
COA~402089,1199624,Impact Wrench - Air - 25 mm,2399,https://www.totaltools.com.au/182946-chicago-pneumatic-1inch-drive-air-impact-wrench-cp7776
COA~5540100,1218387,Impact Wrench - Air - 19 mm,486,https://www.totaltools.com.au/150598-itm-3-4-drive-1200nm-4200rpm-pistol-grip-air-impact-wrench-tm340-145
COA~5540096,1218383,Impact Wrench - Air - 19 mm,486,https://www.totaltools.com.au/150598-itm-3-4-drive-1200nm-4200rpm-pistol-grip-air-impact-wrench-tm340-145
1283101,1283101,Impact Wrench - Air - 19 mm,486,https://www.totaltools.com.au/150598-itm-3-4-drive-1200nm-4200rpm-pistol-grip-air-impact-wrench-tm340-145
COA~222090,1218404,Impact Wrench - Air - 19 mm,486,https://www.totaltools.com.au/150598-itm-3-4-drive-1200nm-4200rpm-pistol-grip-air-impact-wrench-tm340-145
COA~5540092,1218391,Impact Wrench - Air - 19 mm,486,https://www.totaltools.com.au/150598-itm-3-4-drive-1200nm-4200rpm-pistol-grip-air-impact-wrench-tm340-145
1163713,1163713,"1/2"" Drive Air Impact Wrench",499,https://www.totaltools.com.au/22467-chicago-pneumatic-1-2inch-air-impact-wrench-cp734h
1240443,1240443,"1/2"" Drive Air Impact Wrench",499,https://www.totaltools.com.au/22467-chicago-pneumatic-1-2inch-air-impact-wrench-cp734h
COA~487599,1236790,Scabbler - Air - 3 Head,679.99,https://www.capsshop.com.au/air-tools/air-sanders-polishers-scalers/air-scaling-hammer
1290411,1290411,Rivet Buster - Air,2889,https://www.totaltools.com.au/200448-chicago-pneumatic-900bpm-air-rivet-buster-cp4608-d
1290410,1290410,Rivet Buster - Air,2889,https://www.totaltools.com.au/200448-chicago-pneumatic-900bpm-air-rivet-buster-cp4608-d
COA~5143625,1183514,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
COA~156260,1218455,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
1257957,1257957,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
1269837,1269837,Air Needle Gun,561,https://www.totaltools.com.au/120646-sp-air-12-composite-air-needle-scaler-sp2472
1297777,1297777,Compressor 185CFM (Diesel),,
AIRHOSEFSUPTHOR-0051,AIRHOSEFSUPTHOR-0051,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0081,AIRHOSEFSUPTHOR-0081,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0405,AIRHOSEFSUPTHOR-0405,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0060,AIRHOSEFSUPTHOR-0060,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0052,AIRHOSEFSUPTHOR-0052,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0312,AIRHOSEFSUPTHOR-0312,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0341,AIRHOSEFSUPTHOR-0341,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0428,AIRHOSEFSUPTHOR-0428,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0078,AIRHOSEFSUPTHOR-0078,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
AIRHOSEFSUPTHOR-0058,AIRHOSEFSUPTHOR-0058,Minsup Thor Adaptor,46.2,https://www.bruderaustralia.com.au/product/400pmmina-minsup-large-nitto-adaptor/
